Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-5,0,0,0,0
A,-4,0,0,0,0
A,-3,0,0,10,8
A,-2,0,0,0,3
A,-1,0,0,62,61
A,0,0,0,0,0
A,1,2,2,26,25
A,2,0,0,0,1
A,3,0,0,6,6
A,4,0,0,0,0
A,5,0,0,2,3
A,6,0,0,0,1
A,7,1,1,3,1
B,-5,0,0,2,2
B,-4,0,0,0,0
B,-3,0,0,18,12
B,-2,0,0,0,5
B,-1,0,0,66,64
B,0,0,0,0,4
B,1,2,2,44,44
B,2,0,0,0,1
B,3,0,0,10,8
B,4,0,0,0,1
B,5,0,0,10,9
B,6,0,1,0,4
B,7,2,1,6,2
C,-5,0,0,4,3
C,-4,0,0,0,1
C,-3,0,0,4,4
C,-2,0,0,0,1
C,-1,0,0,64,57
C,0,0,0,0,7
C,1,2,2,22,21
C,2,0,0,0,0
C,3,0,0,4,4
C,4,0,0,0,1
C,5,0,0,8,7
C,6,0,0,0,0
C,7,1,1,3,3
