config,L,C,M
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",11023,1957,6
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",1511,326,5
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",11023,1957,6
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",1511,326,5
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1511,326,5
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",237,65,4
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",836489,109601,8
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",90861,13700,7
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",90861,13700,7
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",11023,1957,6
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",90861,13700,7
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",11023,1957,6
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",11023,1957,6
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]",1511,326,5
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",90861,13700,7
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",11023,1957,6
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",11023,1957,6
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",1511,326,5
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",11023,1957,6
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",1511,326,5
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",1511,326,5
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",237,65,4
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",90861,13700,7
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",11023,1957,6
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",11023,1957,6
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",1511,326,5
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",11023,1957,6
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1511,326,5
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",1511,326,5
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",237,65,4
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",11023,1957,6
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",1511,326,5
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",1511,326,5
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",237,65,4
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",1511,326,5
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",237,65,4
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",237,65,4
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",43,16,3
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",836489,109601,8
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",90861,13700,7
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",90861,13700,7
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",11023,1957,6
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",90861,13700,7
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",11023,1957,6
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",11023,1957,6
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]",1511,326,5
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",90861,13700,7
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",11023,1957,6
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",11023,1957,6
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",1511,326,5
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",11023,1957,6
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",1511,326,5
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",1511,326,5
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",237,65,4
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",90861,13700,7
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",11023,1957,6
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",11023,1957,6
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]",1511,326,5
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",11023,1957,6
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1511,326,5
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]",1511,326,5
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",237,65,4
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",11023,1957,6
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 1]",1511,326,5
"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",1511,326,5
"[0, 0, 0, 1, 0, 1, 1, 0, 1, 1]",237,65,4
"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]",1511,326,5
"[0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",237,65,4
"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0]",237,65,4
"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1]",43,16,3
"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",90861,13700,7
"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",11023,1957,6
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",11023,1957,6
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]",1511,326,5
"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",11023,1957,6
"[0, 0, 0, 1, 1, 0, 0, 1, 0, 1]",1511,326,5
"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]",1511,326,5
"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1]",237,65,4
"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",11023,1957,6
"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]",1511,326,5
"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0]",1511,326,5
"[0, 0, 0, 1, 1, 0, 1, 0, 1, 1]",237,65,4
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]",1511,326,5
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",237,65,4
"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0]",237,65,4
"[0, 0, 0, 1, 1, 0, 1, 1, 1, 1]",43,16,3
"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",11023,1957,6
"[0, 0, 0, 1, 1, 1, 0, 0, 0, 1]",1511,326,5
"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",1511,326,5
"[0, 0, 0, 1, 1, 1, 0, 0, 1, 1]",237,65,4
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",1511,326,5
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",237,65,4
"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",237,65,4
"[0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",43,16,3
"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1511,326,5
"[0, 0, 0, 1, 1, 1, 1, 0, 0, 1]",237,65,4
"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]",237,65,4
"[0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",43,16,3
"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",237,65,4
"[0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",43,16,3
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",43,16,3
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",9,5,2
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",836489,109601,8
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",90861,13700,7
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",90861,13700,7
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",11023,1957,6
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",90861,13700,7
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",11023,1957,6
"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",11023,1957,6
"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1]",1511,326,5
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",90861,13700,7
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",11023,1957,6
"[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",11023,1957,6
"[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",1511,326,5
"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",11023,1957,6
"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",1511,326,5
"[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",1511,326,5
"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",237,65,4
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",90861,13700,7
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",11023,1957,6
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",11023,1957,6
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",1511,326,5
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",11023,1957,6
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",1511,326,5
"[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",1511,326,5
"[0, 0, 1, 0, 0, 1, 0, 1, 1, 1]",237,65,4
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",11023,1957,6
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]",1511,326,5
"[0, 0, 1, 0, 0, 1, 1, 0, 1, 0]",1511,326,5
"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1]",237,65,4
"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0]",1511,326,5
"[0, 0, 1, 0, 0, 1, 1, 1, 0, 1]",237,65,4
"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",237,65,4
"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",43,16,3
"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",90861,13700,7
"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",11023,1957,6
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",11023,1957,6
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",1511,326,5
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",11023,1957,6
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1]",1511,326,5
"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]",1511,326,5
"[0, 0, 1, 0, 1, 0, 0, 1, 1, 1]",237,65,4
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",11023,1957,6
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",1511,326,5
"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",1511,326,5
"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1]",237,65,4
"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0]",1511,326,5
"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]",237,65,4
"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]",237,65,4
"[0, 0, 1, 0, 1, 0, 1, 1, 1, 1]",43,16,3
"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",11023,1957,6
"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]",1511,326,5
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",1511,326,5
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1]",237,65,4
"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",1511,326,5
"[0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",237,65,4
"[0, 0, 1, 0, 1, 1, 0, 1, 1, 0]",237,65,4
"[0, 0, 1, 0, 1, 1, 0, 1, 1, 1]",43,16,3
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]",1511,326,5
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1]",237,65,4
"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0]",237,65,4
"[0, 0, 1, 0, 1, 1, 1, 0, 1, 1]",43,16,3
"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0]",237,65,4
"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1]",43,16,3
"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",43,16,3
"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",9,5,2
"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",90861,13700,7
"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]",11023,1957,6
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",11023,1957,6
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",1511,326,5
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",11023,1957,6
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1]",1511,326,5
"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",1511,326,5
"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",237,65,4
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",11023,1957,6
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]",1511,326,5
"[0, 0, 1, 1, 0, 0, 1, 0, 1, 0]",1511,326,5
"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1]",237,65,4
"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",1511,326,5
"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",237,65,4
"[0, 0, 1, 1, 0, 0, 1, 1, 1, 0]",237,65,4
"[0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",43,16,3
"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",11023,1957,6
"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]",1511,326,5
"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",1511,326,5
"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1]",237,65,4
"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",1511,326,5
"[0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",237,65,4
"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",237,65,4
"[0, 0, 1, 1, 0, 1, 0, 1, 1, 1]",43,16,3
"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",1511,326,5
"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",237,65,4
"[0, 0, 1, 1, 0, 1, 1, 0, 1, 0]",237,65,4
"[0, 0, 1, 1, 0, 1, 1, 0, 1, 1]",43,16,3
"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0]",237,65,4
"[0, 0, 1, 1, 0, 1, 1, 1, 0, 1]",43,16,3
"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0]",43,16,3
"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1]",9,5,2
"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",11023,1957,6
"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1]",1511,326,5
"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]",1511,326,5
"[0, 0, 1, 1, 1, 0, 0, 0, 1, 1]",237,65,4
"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]",1511,326,5
"[0, 0, 1, 1, 1, 0, 0, 1, 0, 1]",237,65,4
"[0, 0, 1, 1, 1, 0, 0, 1, 1, 0]",237,65,4
"[0, 0, 1, 1, 1, 0, 0, 1, 1, 1]",43,16,3
"[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]",1511,326,5
"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",237,65,4
"[0, 0, 1, 1, 1, 0, 1, 0, 1, 0]",237,65,4
"[0, 0, 1, 1, 1, 0, 1, 0, 1, 1]",43,16,3
"[0, 0, 1, 1, 1, 0, 1, 1, 0, 0]",237,65,4
"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1]",43,16,3
"[0, 0, 1, 1, 1, 0, 1, 1, 1, 0]",43,16,3
"[0, 0, 1, 1, 1, 0, 1, 1, 1, 1]",9,5,2
"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",1511,326,5
"[0, 0, 1, 1, 1, 1, 0, 0, 0, 1]",237,65,4
"[0, 0, 1, 1, 1, 1, 0, 0, 1, 0]",237,65,4
"[0, 0, 1, 1, 1, 1, 0, 0, 1, 1]",43,16,3
"[0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",237,65,4
"[0, 0, 1, 1, 1, 1, 0, 1, 0, 1]",43,16,3
"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",43,16,3
"[0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",9,5,2
"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]",237,65,4
"[0, 0, 1, 1, 1, 1, 1, 0, 0, 1]",43,16,3
"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",43,16,3
"[0, 0, 1, 1, 1, 1, 1, 0, 1, 1]",9,5,2
"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",43,16,3
"[0, 0, 1, 1, 1, 1, 1, 1, 0, 1]",9,5,2
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",9,5,2
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2,2,1
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",836489,109601,8
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",90861,13700,7
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",90861,13700,7
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",11023,1957,6
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",90861,13700,7
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]",11023,1957,6
"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",11023,1957,6
"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]",1511,326,5
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",90861,13700,7
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",11023,1957,6
"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",11023,1957,6
"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",1511,326,5
"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",11023,1957,6
"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",1511,326,5
"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",1511,326,5
"[0, 1, 0, 0, 0, 0, 1, 1, 1, 1]",237,65,4
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",90861,13700,7
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",11023,1957,6
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",11023,1957,6
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1]",1511,326,5
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",11023,1957,6
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",1511,326,5
"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",1511,326,5
"[0, 1, 0, 0, 0, 1, 0, 1, 1, 1]",237,65,4
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",11023,1957,6
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",1511,326,5
"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]",1511,326,5
"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",237,65,4
"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",1511,326,5
"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1]",237,65,4
"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0]",237,65,4
"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]",43,16,3
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",90861,13700,7
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",11023,1957,6
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",11023,1957,6
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]",1511,326,5
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",11023,1957,6
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1]",1511,326,5
"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0]",1511,326,5
"[0, 1, 0, 0, 1, 0, 0, 1, 1, 1]",237,65,4
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",11023,1957,6
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",1511,326,5
"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",1511,326,5
"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",237,65,4
"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",1511,326,5
"[0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",237,65,4
"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",237,65,4
"[0, 1, 0, 0, 1, 0, 1, 1, 1, 1]",43,16,3
"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",11023,1957,6
"[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]",1511,326,5
"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]",1511,326,5
"[0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",237,65,4
"[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",1511,326,5
